intent-group,loom-design,molecule,loom-name,loom-description,design/epitope,design/orf,design/orf-protein-mutations,design/orf-source-organism,design/misc,design-genome/organism,design/backbone,selection-marker/antibiotic-resistance,design-properties/copy-number
E coli expression,951,4046792,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046984,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046749,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046872,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725318.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046882,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046746,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046852,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046877,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046834,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046856,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046810,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046893,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046964,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046844,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046742,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046725,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046908,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046785,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046839,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046898,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046756,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046931,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046871,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046845,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046916,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725302.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046745,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046848,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046972,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046831,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046807,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046955,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046833,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046790,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046979,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046969,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725305.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046879,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046963,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046763,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046816,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046769,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046737,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046780,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046730,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046903,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046901,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724395.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046740,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046974,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725312.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046776,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724393.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046886,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046876,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725299.1,,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046976,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046933,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046911,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046938,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046905,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046981,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046791,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046954,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046925,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046773,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725310.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046867,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725306.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046937,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046975,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046793,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046906,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725298.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046858,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725311.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046826,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046751,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724391.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046782,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046983,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009724397.2,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046797,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725297.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046771,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046912,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725255.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046835,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_flag_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725309.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046813,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725308.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046735,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724396.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046762,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725300.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046747,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725301.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046804,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_strepii_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725304.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046970,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_ha_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724390.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046866,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009724392.1,d1,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046956,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_epitope_myc_ecoli,Severe acute respiratory syndrome coronavirus 2:YP_009725303.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
E coli expression,951,4046757,COVID19 orf expression plasmids,COVID 19 template for expression,EPITOPE_affinity_6xhis_multiple,Severe acute respiratory syndrome coronavirus 2:YP_009725307.1,wt,Severe acute respiratory syndrome coronavirus 2,,Escherichia coli str. K-12 substr. MG1655,ori-013 - marker | cmR,,
